Nev;Datum;Idotartam;Leiras;Felhasznalo
Reggeli_meeting;2028-02-07 09:00:00;01:30:00;Heti_csapatmegbeszeles;apa
Ebedszunet;2028-02-07 12:00:00;01:00:00;Ebedelesi_ido;anya
Projekt_review;2028-02-08 14:00:00;02:00:00;Q1_projekt_ertekeles;apa
Kepzes;2028-02-08 10:30:00;01:45:00;Uj_rendszer_kepzes;anya
Ugyfel_talalkozas;2028-02-09 08:30:00;01:30:00;ABC_ceg_megbeszeles;apa
Brainstorming;2028-02-09 15:00:00;02:00:00;Uj_otletek_gyujtese;anya
Telefon_megbeszeles;2028-02-10 11:00:00;00:45:00;Partner_egyeztetes;apa
Dokumentacio;2028-02-10 13:00:00;01:30:00;Felhasznaloi_kezikonyv;anya
Teszteles;2028-02-11 09:30:00;01:00:00;Rendszer_teszteles;apa
Prezentacio;2028-02-11 16:00:00;01:30:00;Vezetosegi_bemutato;anya
Workshop;2028-02-14 08:00:00;02:00:00;Csapatepito_workshop;apa
Code_review;2028-02-14 10:00:00;01:30:00;Kod_atellenorzes;anya
Tervezes;2028-02-15 14:30:00;01:45:00;Uj_funkciok_tervezese;apa
Demo;2028-02-15 11:30:00;01:00:00;Termek_demo;anya
Zaras;2028-02-16 17:00:00;02:00:00;Havi_zaras_elokeszites;apa
Megbeszeles;2028-02-16 09:00:00;01:15:00;Csapat_egyeztetes;anya
Elemzes;2028-02-17 13:00:00;01:30:00;Adatelemzes;apa
Riport;2028-02-17 15:30:00;01:00:00;Heti_riport;anya
Strategia;2028-02-18 10:00:00;02:00:00;Strategiai_tervezes;apa
Konzultacio;2028-02-18 14:00:00;00:45:00;Szakertoi_konzultacio;anya
Felmerules;2028-02-21 09:30:00;01:00:00;Problema_megoldas;apa
Training;2028-02-21 11:00:00;01:45:00;Szakmai_kepzes;anya
Audit;2028-02-22 08:00:00;02:00:00;Belso_audit;apa
Planning;2028-02-22 13:30:00;01:30:00;Sprint_tervezes;anya
Interjú;2028-02-23 10:30:00;01:00:00;Jelolt_interjuztatasa;apa
Retrospektiv;2028-02-23 15:00:00;01:15:00;Sprint_retrospektiv;anya
Optimalizalas;2028-02-24 09:00:00;02:00:00;Folyamat_optimalizalas;apa
Webinar;2028-02-24 14:00:00;01:30:00;Online_eloadas;anya
Networking;2028-02-25 11:30:00;01:00:00;Uzleti_talalkozas;apa
Mentoring;2028-02-25 16:00:00;00:45:00;Junior_mentorlas;anya
Standup;2028-02-28 08:30:00;00:30:00;Napi_standup;apa
Research;2028-02-28 10:00:00;01:45:00;Piackutatas;anya
Implementation;2028-03-01 13:00:00;02:00:00;Funkcio_implementalas;apa
Testing;2028-03-01 15:30:00;01:30:00;Integriacios_tesztek;anya
Review_meeting;2028-03-02 09:00:00;01:00:00;Kod_review_megbeszeles;apa
Documentation;2028-03-02 11:30:00;01:15:00;API_dokumentacio;anya
Client_call;2028-03-03 14:00:00;01:30:00;Ugyfel_telefonkonferencia;apa
Budget_review;2028-03-03 16:00:00;02:00:00;Koltsegvetes_atellenorzese;anya
Onboarding;2028-03-04 08:00:00;01:45:00;Uj_munkatars_betanitas;apa
Feedback;2028-03-04 10:30:00;01:00:00;Teljesitmeny_ertekeles;anya